Complete Genetic Evolution Log
COUNT, GHOST_PROXIMITY_THRESHOLD, HOSTILE_GHOSTS_THRESHOLD, CHASE_THRESHOLD, MIN_DISTANCE, MIN_CLOSE_GHOSTS, GHOSTS_MAX_DISTANCE, AWARENESS_THRESHOLD, Fitness, Best Score, Worst Score 
GENERATION: 0
 15,   34,   3,  77,  51,   2,  22, 120,  20386.000,   48170,    6690
 16,   52,   2,  11,  31,   0,   9, 116,  21644.000,   51530,    5800
 17,   27,   4,  63,  60,   3,  39,  45,  15999.667,   45040,    3610
 18,   52,   2,  11,  31,   0,  39,  45,  14910.333,   30580,    4900
 19,   52,   2,  11,  31,   0,  39,  45,  15690.000,   29000,    5620
 20,    4,   1,  32,  80,   1,  28,  91,  20285.334,   38630,    7920
 21,   15,   4,  34,  93,   2,  22, 189,  16474.666,   44800,    3200
 22,    4,   1,  32,  80,   2,  22,  91,  18675.000,   33180,    5740
 23,    4,   4,  34,  93,   2,  28,  91,  20500.000,   48570,    4230
 24,   26,   2,  25,  81,   4,  30, 194,  18573.334,   38180,    6150
 25,   21,   1,  50,  97,   1,  53, 161,  16669.666,   39810,    2460
 26,   21,   1,  50,  81,   4,  30, 194,  15873.333,   28830,    5120
 27,   26,   1,  50,  97,   1,  53, 194,  15767.333,   35740,    6340
 28,   18,   1,  27,  81,   4,  30, 199,  15818.667,   33270,    7120
 29,    4,   1,  32,  80,   0,  48, 125,  20550.000,   40630,    6940
 30,    4,   1,  32,  80,   0,  30, 199,  19660.666,   56870,    2920
 31,   18,   1,  32,  80,   4,  30, 199,  19968.000,   36980,    4760
 32,   22,   3,  86,  53,   1,  43, 198,  16060.667,   42580,    2770
 33,   23,   1,  65,  52,   3,  22,  30,  17082.334,   43990,    5310
 34,   22,   1,  65,  52,   3,  22,  30,  14839.333,   31960,    5820
 35,   22,   1,  65,  53,   1,  43, 198,  19022.666,   38290,    5860
 36,   15,   4,  77,  51,   3,  26, 121,  12379.667,   24570,    3990
 37,   77,   1,  91,   5,   4,   0,  44,  13345.000,   35680,    4520
 38,   77,   1,  77,  51,   3,  26, 121,  16685.334,   28290,    7810
 39,   15,   4,  77,  51,   4,   0,  44,  12986.667,   23200,    4300
 40,   19,   1,  63,  82,   0,   6, 178,  18749.000,   31630,    4580
 41,   38,   2,  78,  82,   0,  24, 184,  17224.334,   31110,    7040
 42,   19,   1,  63,  82,   0,   6, 178,  17112.666,   31890,    3650
